  UID   PID  PPID   C STIME   TTY           TIME CMD
    0     1     0   0  9:11PM ??         1:21.32 /sbin/launchd
    0    65     1   0  9:11PM ??         0:03.29 /usr/sbin/syslogd
    0    66     1   0  9:11PM ??         0:07.79 /usr/libexec/UserEventAgent (System)
    0    69     1   0  9:11PM ??         0:00.84 /System/Library/PrivateFrameworks/Uninstall.framework/Resources/uninstalld
    0    70     1   0  9:11PM ??         0:35.38 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
    0    71     1   0  9:11PM ??         0:05.56 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
    0    75     1   0  9:11PM ??         0:17.87 /usr/sbin/systemstats --daemon
    0    77     1   0  9:11PM ??         0:07.13 /usr/libexec/configd
    0    79     1   0  9:11PM ??         0:17.83 /System/Library/CoreServices/powerd.bundle/powerd
  401    81     1   0  9:11PM ??         0:00.01 /bin/bash /var/panopto/upload-daemon-wrapper -l info
    0    83     1   0  9:11PM ??         0:03.19 /usr/libexec/remoted
    0    85     1   0  9:11PM ??         0:25.92 /usr/libexec/logd
    0    91     1   0  9:11PM ??         0:01.05 /usr/libexec/watchdogd
    0    95     1   0  9:11PM ??         0:46.23 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
    0    97     1   0  9:11PM ??         0:02.61 /usr/libexec/kernelmanagerd
    0    98     1   0  9:11PM ??         0:08.21 /usr/libexec/diskarbitrationd
  401   100     1   0  9:11PM ??         0:00.08 /Applications/Panopto.app/Contents/MacOS/panoptod
    0   105     1   0  9:11PM ??         0:00.03 /usr/libexec/thermalmonitord
    0   106     1   0  9:11PM ??         0:22.03 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
    0   107     1   0  9:11PM ??         0:20.53 /usr/libexec/opendirectoryd
    0   108     1   0  9:11PM ??         0:03.32 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
    0   109     1   0  9:11PM ??         0:34.48 /System/Library/CoreServices/launchservicesd
  266   110     1   0  9:11PM ??         0:00.95 /usr/libexec/timed
